1316|  1 ; 1 ; 355 ; 1435075953776 ; 90
1316|  2 ; 6 ; 306 ; 1435075954159 ; 100
1316|  3 ; 10 ; 307 ; 1435075954644 ; 100
1316|  4 ; 14 ; 283 ; 1435075954967 ; 90
1316|  5 ; 18 ; 277 ; 1435075955280 ; 90
1316|  6 ; 22 ; 294 ; 1435075955609 ; 100
1316|  7 ; 26 ; 257 ; 1435075955924 ; 100
1316|  8 ; 29 ; 259 ; 1435075956218 ; 100
1316|  9 ; 32 ; 281 ; 1435075956566 ; 100
1316|  10 ; 36 ; 297 ; 1435075956901 ; 90
1316|  11 ; 40 ; 270 ; 1435075957211 ; 100
1316|  12 ; 44 ; 283 ; 1435075957530 ; 90
1316|  13 ; 48 ; 269 ; 1435075957834 ; 100
1316|  14 ; 52 ; 269 ; 1435075958138 ; 100
1316|  15 ; 56 ; 259 ; 1435075958433 ; 100
1316|  16 ; 59 ; 260 ; 1435075958729 ; 100
1316|  17 ; 62 ; 263 ; 1435075959030 ; 100
1316|  18 ; 65 ; 265 ; 1435075959331 ; 100
1316|  19 ; 68 ; 270 ; 1435075959637 ; 100
1316|  20 ; 72 ; 268 ; 1435075959940 ; 100
1316|  21 ; 76 ; 264 ; 1435075960241 ; 100
1316|  22 ; 79 ; 271 ; 1435075960549 ; 100
1316|  23 ; 83 ; 264 ; 1435075960849 ; 100
1316|  24 ; 86 ; 266 ; 1435075961153 ; 100
1316|  25 ; 89 ; 269 ; 1435075961457 ; 100
1316|  26 ; 93 ; 269 ; 1435075961761 ; 100
1316|  27 ; 97 ; 267 ; 1435075962065 ; 100
1316|  28 ; 101 ; 269 ; 1435075962371 ; 100
1316|  29 ; 105 ; 263 ; 1435075962671 ; 100
1316|  30 ; 108 ; 266 ; 1435075962972 ; 100
1316|  31 ; 111 ; 267 ; 1435075963277 ; 100
1316|  32 ; 115 ; 268 ; 1435075963582 ; 100
1316|  33 ; 119 ; 268 ; 1435075963886 ; 100
1316|  34 ; 123 ; 270 ; 1435075964194 ; 100
1316|  35 ; 127 ; 271 ; 1435075964522 ; 100
1316|  36 ; 131 ; 262 ; 1435075964822 ; 100
1316|  37 ; 134 ; 265 ; 1435075965123 ; 100
1316|  38 ; 137 ; 268 ; 1435075965427 ; 100
1316|  39 ; 141 ; 264 ; 1435075965729 ; 100
1316|  40 ; 144 ; 268 ; 1435075966033 ; 100
1316|  41 ; 148 ; 265 ; 1435075966334 ; 100
1316|  42 ; 151 ; 268 ; 1435075966638 ; 100
1316|  43 ; 155 ; 268 ; 1435075966942 ; 100
1316|  44 ; 159 ; 261 ; 1435075967239 ; 100
1316|  45 ; 162 ; 265 ; 1435075967541 ; 100
1316|  46 ; 165 ; 259 ; 1435075967837 ; 100
1316|  47 ; 168 ; 256 ; 1435075968130 ; 100
1316|  48 ; 171 ; 258 ; 1435075968426 ; 100
1316|  49 ; 174 ; 263 ; 1435075968726 ; 100
1316|  50 ; 177 ; 258 ; 1435075969019 ; 100
1316|  51 ; 180 ; 262 ; 1435075969319 ; 100
1316|  52 ; 183 ; 257 ; 1435075969612 ; 100
1316|  53 ; 186 ; 267 ; 1435075969917 ; 100
1316|  54 ; 190 ; 267 ; 1435075970222 ; 100
1316|  55 ; 194 ; 267 ; 1435075970525 ; 100
1316|  56 ; 198 ; 265 ; 1435075970825 ; 100
1316|  57 ; 201 ; 267 ; 1435075971129 ; 100
1316|  58 ; 205 ; 266 ; 1435075971431 ; 90
1316|  59 ; 208 ; 272 ; 1435075971740 ; 90
1316|  60 ; 212 ; 267 ; 1435075972044 ; 90
1316|  61 ; 216 ; 269 ; 1435075972348 ; 90
1316|  62 ; 220 ; 279 ; 1435075972662 ; 90
1316|  63 ; 224 ; 274 ; 1435075972972 ; 90
1316|  64 ; 228 ; 267 ; 1435075973276 ; 90
1316|  65 ; 232 ; 268 ; 1435075973581 ; 90
1316|  66 ; 236 ; 266 ; 1435075973883 ; 90
1316|  67 ; 239 ; 267 ; 1435075974185 ; 90
1316|  68 ; 243 ; 266 ; 1435075974488 ; 90
1316|  69 ; 246 ; 268 ; 1435075974792 ; 90
1316|  70 ; 250 ; 265 ; 1435075975092 ; 90
1316|  71 ; 253 ; 268 ; 1435075975396 ; 90
1316|  72 ; 257 ; 265 ; 1435075975699 ; 90
1316|  73 ; 260 ; 266 ; 1435075976000 ; 90
1316|  74 ; 263 ; 267 ; 1435075976304 ; 90
1316|  75 ; 267 ; 269 ; 1435075976611 ; 90
1316|  76 ; 271 ; 267 ; 1435075976913 ; 90
1316|  77 ; 275 ; 266 ; 1435075977214 ; 90
1316|  78 ; 278 ; 270 ; 1435075977523 ; 90
1316|  79 ; 282 ; 266 ; 1435075977827 ; 90
1316|  80 ; 285 ; 260 ; 1435075978122 ; 90
1316|  81 ; 288 ; 264 ; 1435075978422 ; 90
1316|  82 ; 291 ; 271 ; 1435075978729 ; 90
1316|  83 ; 295 ; 264 ; 1435075979028 ; 90
1316|  84 ; 298 ; 263 ; 1435075979327 ; 90
1316|  85 ; 301 ; 265 ; 1435075979635 ; 90
